SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
12632-14,ARY1,Arylamine N-acetyltransferase 1,P18440,NAT1,,,,X,,,,,,,,,,,,
23646-5,AIPL1,Aryl-hydrocarbon-interacting protein-like 1,Q9NZN9,AIPL1,,,,,,,,,,,,,,,,
3583-54,Arylsulfatase A,Arylsulfatase A,P15289,ARSA,,,,,,,,,,,,,,,,
8790-6,Arylsulfatase A,Arylsulfatase A,P15289,ARSA,,,X,,,,,,,,,,,,,
3172-28,ARSB,Arylsulfatase B,P15848,ARSB,,,X,,,,,,,X,,,X,,X,X
8269-327,ARSK,Arylsulfatase K,Q6UWY0,ARSK,,,,,,,,,,,,,,,,
5452-71,ASGR1,Asialoglycoprotein receptor 1,P07306,ASGR1,,,,,,,,,,X,,,X,,X,X
9474-22,ASGR2,Asialoglycoprotein receptor 2,P07307,ASGR2,,,,,,,,,,,,,,,,
23694-3,ASNS,Asparagine synthetase,P08243,ASNS,,,X,,,,,,,,,,,,,
21383-37,SYNC,"Asparaginyl-tRNA synthetase, cytoplasmic",O43776,NARS1,,,,,,,,,,,,,,,,
4912-17,GOT1,"Aspartate aminotransferase, cytoplasmic",P17174,GOT1,,,,,,,,,,X,,,X,,X,X
18233-10,GOT2,"Aspartate aminotransferase, mitochondrial",P00505,GOT2,,,,,,,,,,,,,,,,
23903-3,GOT2,"Aspartate aminotransferase, mitochondrial",P00505,GOT2,,,X,,,,,,,,,,,,,
12675-14,SYDC,"Aspartate--tRNA ligase, cytoplasmic",P14868,DARS1,,,,,,,,,,,,,,,,
12395-86,SYDM,"Aspartate--tRNA ligase, mitochondrial",Q6PI48,DARS2,,,X,,,,,,,,,,,,,
18187-16,ACY2,Aspartoacylase,P45381,ASPA,,,X,,,,,,,,,,,,,
21781-9,ACY3,Aspartoacylase-2,Q96HD9,ACY3,,,,,,,,,,,,,,,,
25037-4,DNPEP,Aspartyl aminopeptidase,Q9ULA0,DNPEP,,,X,,,,,,,,,,,,,
6998-106,HAAH,Aspartyl/asparaginyl beta-hydroxylase,Q12797,ASPH,,,,,,,,,,,,,,,,
6451-64,ASPN,Asporin,Q9BXN1,ASPN,,,X,,,,,,,,,,,,,
7993-23,ASTL,Astacin-like metalloendopeptidase,Q6HA08,ASTL,,,X,,,,,,,,,,,,,
18833-76,PEA15,Astrocytic phosphoprotein PEA-15,Q15121,PEA15,,,,,,,,,,,,,,,,
25481-66,ATX10,Ataxin-10,Q9UBB4,ATXN10,,,X,,,,,,,,,,,,,
22074-35,Ataxin-2-binding protein 1,Ataxin-2-binding protein 1,Q9NWB1,RBFOX1,,,,,,,,,,,,,,,,
16825-20,ATX3,Ataxin-3,P54252,ATXN3,,,X,,,,,,,,,,,,,
21544-4,ATLA3,Atlastin-3,Q6DD88,ATL3,,,X,,,,,,,,,,,,,
22073-47,AT5F1,"ATP synthase B chain, mitochondrial",P24539,ATP5PB,,,,,,,,,,,,,,,,
23226-42,AT5F1,"ATP synthase B chain, mitochondrial",P24539,ATP5PB,,,X,,,,,,,,,,,,,
4965-27,ATP synthase beta chain,"ATP synthase subunit beta, mitochondrial",P06576,ATP5F1B,,,,,,,,,,X,,,X,,X,X
11539-4,ATPK,"ATP synthase subunit f, mitochondrial",P56134,ATP5MF,,,X,,,,,,,,,,,,,
9202-309,ATPO,"ATP synthase subunit O, mitochondrial",P48047,ATP5PO,,,X,,,,,,,,,,,,,
7788-1,CF6,"ATP synthase-coupling factor 6, mitochondrial",P18859,ATP5PF,X,,,,,,,,,,,,,,,
13620-10,ASNA,ATPase ASNA1,O43681,GET3,,,X,,,,,,,,,,,,,
6625-31,ATAD1,ATPase family AAA domain-containing protein 1,Q8NBU5,ATAD1,,,,,,,,,,,,,,,,
13043-157,ATAD2,ATPase family AAA domain-containing protein 2,Q6PL18,ATAD2,,,X,,,,,,,,,,,,,
19755-38,ATIF1,"ATPase inhibitor, mitochondrial",Q9UII2,ATP5IF1,,,X,,,,,,,,,,,,,
12528-40,WRIP1,ATPase WRNIP1,Q96S55,WRNIP1,,,,,,,,,,,,,,,,
25886-11,ABCD4,ATP-binding cassette sub-family D member 4,O14678,ABCD4,,,X,,,,,,,,,,,,,
23700-42,ABCF3,ATP-binding cassette sub-family F member 3,Q9NUQ8,ABCF3,,,,,,,,,,,,,,,,
12700-9,ACLY,ATP-citrate synthase,P53396,ACLY,X,,X,,,,,,,,,,,,,
17384-110,K6PF,"ATP-dependent 6-phosphofructokinase, muscle type",P08237,PFKM,X,,X,,,,,,,,,,,,,
17196-5,ClpP endopeptidase,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Q16740,CLPP,,,,,,,,,,,,,,,,
11431-235,RECQ1,ATP-dependent DNA helicase Q1,P46063,RECQL,,,,X,,,,,,,,,,,,
10527-22,DHX9,ATP-dependent RNA helicase A,Q08211,DHX9,,,,,,,,,,,,,,,,
25092-32,DDX1,ATP-dependent RNA helicase DDX1,Q92499,DDX1,,,,,,,,,,,,,,,,
18813-15,DD19A,ATP-dependent RNA helicase DDX19A,Q9NUU7,DDX19A,,,,,,,,,,,,,,,,
5460-60,DEAD-box protein 19B,ATP-dependent RNA helicase DDX19B,Q9UMR2,DDX19B,,,,,,,,,,,,,,,,
13984-23,DDX25,ATP-dependent RNA helicase DDX25,Q9UHL0,DDX25,,,,,,,,,,,,,,,,
11601-26,DHX8,ATP-dependent RNA helicase DHX8,Q14562,DHX8,,,,,,,,,,,,,,,,
11190-129,YMEL1,ATP-dependent zinc metalloprotease YME1L1,Q96TA2,YME1L1,,,,,,,,,,,,,,,,
5443-62,ANP,Atrial natriuretic factor,P01160,NPPA,X,,,X,,,,,,X,,,X,,X,X
9898-161,ARI1A,AT-rich interactive domain-containing protein 1A,O14497,ARID1A,,X,,X,,,,,,,,,,,,
3875-62,ARI3A,AT-rich interactive domain-containing protein 3A,Q99856,ARID3A,,,,,,,,,,X,,,X,,X,X
25484-120,ARI3C,AT-rich interactive domain-containing protein 3C,A6NKF2,ARID3C,,,,,,,,,,,,,,,,
15499-11,Attractin,Attractin,O75882,ATRN,,,,,,,,,,,,,,,,
6362-6,AUGN,Augurin,Q9H1Z8,ECRG4,,,,,,,,,,,,,,,,
3091-70,Aurora kinase A,Aurora kinase A,O14965,AURKA,,,,X,,,,,,,,,,,,
3346-72,AURKB,Aurora kinase B,Q96GD4,AURKB,,X,,,,,,,,X,,,X,,X,X
12597-68,Autophagy protein 5,Autophagy protein 5,Q9H1Y0,ATG5,,X,,,,,,,,,,,,,,
17347-80,CA080,"Axin interactor, dorsalization-associated protein",Q96BJ3,AIDA,,,,,,,,,,,,,,,,
12925-105,AXIN2,Axin-2,Q9Y2T1,AXIN2,,,,,,,,,,,,,,,,
8429-16,AXIN2,Axin-2,Q9Y2T1,AXIN2,X,,,X,,,,,,,,,,,,
20437-9,IDLC,Axonemal dynein light intermediate polypeptide 1,O14645,DNALI1,,,,,,,,,,,,,,,,
14713-46,Azurocidin,Azurocidin,P20160,AZU1,,,,,,,,,,X,,,X,,X,X
2751-16,Azurocidin,Azurocidin,P20160,AZU1,,,,,,,,,,X,,,X,,X,X
16308-14,BTLA,B- and T-lymphocyte attenuator,Q7Z6A9,BTLA,,,,,,,,,,,,,,,,
6294-11,BAGE2,B melanoma antigen 2,Q86Y30,BAGE2,,,,,,,,,,,,,,,,
6442-6,BAGE3,B melanoma antigen 3,Q86Y29,BAGE3,,,,,,,,,,,,,,,,
21356-6,B9D2,B9 domain-containing protein 2,Q9BPU9,B9D2,,,,,,,,,,,,,,,,
4126-22,BPI,Bactericidal permeability-increasing protein,P17213,BPI,,,,,,,,,,X,,,X,,X,X
10046-55,cIAP-1,Baculoviral IAP repeat-containing protein 2,Q13490,BIRC2,,X,,X,,,,,,,,,,,,
21464-2,cIAP-1,Baculoviral IAP repeat-containing protein 2,Q13490,BIRC2,,,,,,,,,,,,,,,,
4973-18,cIAP-2,Baculoviral IAP repeat-containing protein 3,Q13489,BIRC3,X,X,,X,,,,,,,,,,,,
3472-40,Survivin,Baculoviral IAP repeat-containing protein 5,O15392,BIRC5,,X,,X,,,,,,X,,,X,,X,X
15412-40,KIAP,Baculoviral IAP repeat-containing protein 7,Q96CA5,BIRC7,,,,X,,,,,,,,,,,,
15504-39,Livin B,Baculoviral IAP repeat-containing protein 7 Isoform beta,Q96CA5,BIRC7,,,,,,,,,,,,,,,,
17195-43,BAG-1,BAG family molecular chaperone regulator 1,Q99933,BAG1,,,,X,,,,,,,,,,,,
19228-11,BAG-2,BAG family molecular chaperone regulator 2,O95816,BAG2,,,,,,,,,,,,,,,,
10078-5,BAG3,BAG family molecular chaperone regulator 3,O95817,BAG3,X,X,,,,,,,,,,,,,,
12844-10,BAG4,BAG family molecular chaperone regulator 4,O95429,BAG4,,,,,,,,,,,,,,,,
12743-18,BAG5,BAG family molecular chaperone regulator 5,Q9UL15,BAG5,,,,,,,,,,,,,,,,
13993-20,E41L1,Band 4.1-like protein 1,Q9H4G0,EPB41L1,,,,,,,,,,,,,,,,
2816-50,BCAM,Basal Cell Adhesion Molecule,P50895,BCAM,,,,,,,,,,,,,,,,
15626-223,Perlecan,Basement membrane-specific heparan sulfate proteoglycan core protein,P98160,HSPG2,X,,,,,,,,,,,,,,,
23659-2,BZW2,Basic leucine zipper and W2 domain-containing protein 2,Q9Y6E2,BZW2,,,,,,,,,,,,,,,,
19227-18,BATF,Basic leucine zipper transcriptional factor ATF-like,Q16520,BATF,,,,,,,,,,,,,,,,
8858-21,BATF3,Basic leucine zipper transcriptional factor ATF-like 3,Q9NR55,BATF3,,X,,,,,,,,,,,,,,
3585-54,BASI,Basigin,P35613,BSG,,,X,,,,,,,X,,,X,,X,X
15674-3,CD79A,B-cell antigen receptor complex-associated protein alpha chain,P11912,CD79A,,X,,,,,,,,,,,,,,
7796-10,CD79A,B-cell antigen receptor complex-associated protein alpha chain,P11912,CD79A,,,,,,,,,,,,,,,,
6351-55,CD79B,B-cell antigen receptor complex-associated protein beta chain,P40259,CD79B,,X,,,,,,,,,,,,,,
21331-19,BCL7A,B-cell CLL/lymphoma 7 protein family member A,Q4VC05,BCL7A,,,,,,,,,,,,,,,,
7009-6,CD72,B-cell differentiation antigen CD72,P21854,CD72,,,,,,,,,,,,,,,,
7009-8,CD72,B-cell differentiation antigen CD72,P21854,CD72,,,,,,,,,,,,,,,,
19225-11,BLNK,B-cell linker protein,Q8WV28,BLNK,,X,,,,,,,,,,,,,,
13111-79,BCL6,B-cell lymphoma 6 protein,P41182,BCL6,,X,,X,,,,,,X,,,X,,X,X
13640-5,BCL6,B-cell lymphoma 6 protein,P41182,BCL6,,,,,,,,,,X,,,X,,X,X
8768-4,Bcl-10,B-cell lymphoma/leukemia 10,O95999,BCL10,,X,,X,,,,,,,,,,,,
24486-1,B-cell CLL 11A,B-cell lymphoma/leukemia 11A,Q9H165,BCL11A,,,,X,,,,,,,,,,,,
2891-1,CD22,B-cell receptor CD22,P20273,CD22,,,,,,,,,,X,,,X,,X,X
11570-94,BAP29,B-cell receptor-associated protein 29,Q9UHQ4,BCAP29,,,,,,,,,,,,,,,,
24485-32,BAP31,B-cell receptor-associated protein 31,P51572,BCAP31,,,,,,,,,,,,,,,,
7045-4,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,Q12983,BNIP3,X,X,,X,,,,,,,,,,,,
7835-2,BNI3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,O60238,BNIP3L,,,,,,,,,,,,,,,,
5870-23,BAD,Bcl2-associated agonist of cell death,Q92934,BAD,X,,,,,,,,,X,,,X,,X,X
4423-77,BCL2-like 1 protein,Bcl-2-like protein 1,Q07817,BCL2L1,X,X,X,X,X,,,,,X,,,X,,X,X
7249-307,B2L10,Bcl-2-like protein 10,Q9HD36,BCL2L10,,,,,,,,,,,,,,,,
7249-37,B2L10,Bcl-2-like protein 10,Q9HD36,BCL2L10,,,,,,,,,,,,,,,,
17451-13,BIM,Bcl-2-like protein 11,O43521,BCL2L11,,,X,,,,,,,,,,,,,
13097-11,Apoptosis regulator Bcl-W,Bcl-2-like protein 2,Q92843,BCL2L2,,,,,,,,,,X,,,X,,X,X
7134-14,Apoptosis regulator Bcl-W,Bcl-2-like protein 2,Q92843,BCL2L2,,,,,,,,,,X,,,X,,X,X
21528-12,BMF,Bcl-2-modifying factor,Q96LC9,BMF,,X,,,,,,,,,,,,,,
3413-50,BFL1,Bcl-2-related protein A1,Q16548,BCL2A1,,X,,X,,,,,,X,,,X,,X,X
4866-59,TrkB,BDNF/NT-3 growth factors receptor,Q16620,NTRK2,,,X,X,,,,,,,,,,,,
10010-10,BECN1,Beclin-1,Q14457,BECN1,,,,,,,,,,,,,,,,
13032-1,BECN1,Beclin-1,Q14457,BECN1,X,,,,,,,,,,,,,,,
20993-13,BEND6,BEN domain-containing protein 6,Q5SZJ8,BEND6,,,,,,,,,,,,,,,,
21232-39,BPSA,Benign Prostate specific Antigen,P07288,KLK3,,,,,,,,,,X,,,X,,X,X
10959-125,BET1L,BET1-like protein,Q9NYM9,BET1L,,,,,,,,,,,,,,,,
7016-12,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Q02742,GCNT1,,,,,,,,,,,,,,,,
10842-7,GCNT4,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",Q9P109,GCNT4,,,,,,,,,,,,,,,,
10854-15,GCNT4,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",Q9P109,GCNT4,,,,,,,,,,,,,,,,
9541-15,B3GT1,"Beta-1,3-galactosyltransferase 1",Q9Y5Z6,B3GALT1,,,,,,,,,,,,,,,,
11638-42,B3GT2,"Beta-1,3-galactosyltransferase 2",O43825,B3GALT2,,,,,,,,,,,,,,,,
20593-10,B3GT5,"Beta-1,3-galactosyltransferase 5",Q9Y2C3,B3GALT5,,,,,,,,,,,,,,,,
7981-230,B3GT6,"Beta-1,3-galactosyltransferase 6",Q96L58,B3GALT6,X,,,,,,,,,,,,,,,
5727-35,B3GLT,"Beta-1,3-glucosyltransferase",Q6Y288,B3GLCT,,,,,,,,,,,,,,,,
5605-77,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",O00587,MFNG,,,,,,,,,,,,,,,,
7203-125,RFNG,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe",Q9Y644,RFNG,,,,X,,,,,,,,,,,,
8976-13,B4GN1,"Beta-1,4 N-acetylgalactosaminyltransferase 1",Q00973,B4GALNT1,,,,,,,,,,,,,,,,
13381-49,B4GT1,"Beta-1,4-galactosyltransferase 1",P15291,B4GALT1,,,X,,,,,,,,,,,,,
9595-11,B4GT2,"Beta-1,4-galactosyltransferase 2",O60909,B4GALT2,,,,,,,,,,,,,,,,
6921-24,B4GT3,"Beta-1,4-galactosyltransferase 3",O60512,B4GALT3,,,,,,,,,,,,,,,,
10425-3,B4GT5,"Beta-1,4-galactosyltransferase 5",O43286,B4GALT5,,X,,,,,,,,,,,,,,
10832-24,B4GT6,"Beta-1,4-galactosyltransferase 6",Q9UBX8,B4GALT6,,,,,,,,,,,,,,,,
7806-33,B4GT7,"Beta-1,4-galactosyltransferase 7",Q9UBV7,B4GALT7,X,,,,,,,,,,,,,,,
21771-47,MGAT3,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",Q09327,MGAT3,,,,,,,,,,,,,,,,
9078-207,SNTB1,Beta-1-syntrophin,Q13884,SNTB1,,,,,,,,,,,,,,,,
8288-27,b2-Glycoprotein I,Beta-2-glycoprotein 1,P02749,APOH,,X,,,,,,,,,,,,,,
10574-10,b2-Microglobulin,Beta-2-microglobulin,P61769,B2M,X,X,X,X,X,,,,,,,,,,X,X
3485-28,b2-Microglobulin,Beta-2-microglobulin,P61769,B2M,,,,,,X,,,,,,,X,,X,
24468-36,ADDB,Beta-adducin,P35612,ADD2,,,,,,,,,,,,,,,,
3347-9,BARK1,beta-adrenergic receptor kinase 1,P25098,GRK2,X,X,,,,,,,,,,,,,,
5456-59,CNDP1,Beta-Ala-His dipeptidase,Q96KN2,CNDP1,,,,,,,,,,X,,,X,,X,X
7870-8,CNDP1,Beta-Ala-His dipeptidase,Q96KN2,CNDP1,X,,X,,,,,,,X,,,X,,X,X
12643-4,ARRB1,Beta-arrestin-1,P49407,ARRB1,,,,,,,,,,,,,,,,
16587-1,Beta-casein,Beta-casein,P05814,CSN2,,,,X,,,,,,,,,,,,
21600-10,CNBP1,Beta-catenin-interacting protein 1,Q9NSA3,CTNNBIP1,,,,,,,,,,,,,,,,
13088-397,BTC,Betacellulin,P35070,BTC,,,X,,,,,,,,,,,,,
9242-11,BTC,Betacellulin,P35070,BTC,,,,,,,,,,,,,,,,
23354-12,CRBA2,Beta-crystallin A2,P53672,CRYBA2,,,,,,,,,,,,,,,,
17751-68,CRBB1,Beta-crystallin B1,P53674,CRYBB1,,,,,,,,,,,,,,,,
10000-28,CRBB2,Beta-crystallin B2,P43320,CRYBB2,,X,,,,,,,,,,,,,,
23262-11,CRBB3,Beta-crystallin B3,P26998,CRYBB3,,,,,,,,,,,,,,,,
19311-15,CRBS,Beta-crystallin S,P22914,CRYGS,,,,,,,,,,,,,,,,
6629-3,HBD-1,Beta-defensin 1,P60022,DEFB1,,,,,,,,,,,,,,,,
5679-16,HBD-3,Beta-defensin 103,P81534,DEFB103A,,,,,,,,,,,,,,,,
5763-67,HBD-4,Beta-defensin 104,Q8WTQ1,DEFB104A,,,,,,,,,,,,,,,,
5664-57,D106A,Beta-defensin 106,Q8N104,DEFB106A,,,,,,,,,,,,,,,,
6399-52,D107A,Beta-defensin 107,Q8IZN7,DEFB107A,,,,,,,,,,,,,,,,
5611-56,D108B,Beta-defensin 108B,Q8NET1,DEFB108B,,,,,,,,,,,,,,,,
8340-9,DB110,Beta-defensin 110,Q30KQ9,DEFB110,,,,,,,,,,,,,,,,
5689-1,DB112,Beta-defensin 112,Q30KQ8,DEFB112,,,,,,,,,,,,,,,,
13374-4,DB113,Beta-defensin 113,Q30KQ7,DEFB113,,,,,,,,,,,,,,,,
8391-12,DB115,Beta-defensin 115,Q30KQ5,DEFB115,,,,,,,,,,,,,,,,
11144-10,DB116,Beta-defensin 116,Q30KQ4,DEFB116,,,,,,,,,,,,,,,,
9306-7,DB118,Beta-defensin 118,Q96PH6,DEFB118,,,,,,,,,,,,,,,,
8315-5,DB119,Beta-defensin 119,Q8N690,DEFB119,,,,,,,,,,,,,,,,
5765-53,DB121,Beta-defensin 121,Q5J5C9,DEFB121,,,,,,,,,,,,,,,,
9486-13,DB125,Beta-defensin 125,Q8N687,DEFB125,,,,,,,,,,,,,,,,
20543-19,DB127,Beta-defensin 127,Q9H1M4,DEFB127,,,,,,,,,,,,,,,,
6360-7,DB128,Beta-defensin 128,Q7Z7B8,DEFB128,,,,,,,,,,,,,,,,
8347-222,DB129,Beta-defensin 129,Q9H1M3,DEFB129,,,,,,,,,,,,,,,,
9022-49,DB132,Beta-defensin 132,Q7Z7B7,DEFB132,,,,,,,,,,,,,,,,
6411-58,DB135,Beta-defensin 135,Q30KP9,DEFB135,,,,,,,,,,,,,,,,
9332-6,DB136,Beta-defensin 136,Q30KP8,DEFB136,,,,,,,,,,,,,,,,
13397-88,HBD-2,Beta-defensin 4A,O15263,DEFB4A,,X,,,,,,,,,,,,,,
23176-17,Beta-dystroglycan,Beta-dystroglycan,Q14118,DAG1,,X,,,,,,,,,,,,,,
2558-51,b-Endorphin,Beta-endorphin,P01189,POMC,,,,,,,,,,X,,,X,,X,X
16616-137,ENOB,Beta-enolase,P13929,ENO3,,,X,,,,,,,,,,,,,
10554-23,BGAL,Beta-galactosidase,P16278,GLB1,,X,X,,X,,,,,,,,,,X,X
6035-2,SIAT1,"Beta-galactoside alpha-2,6-sialyltransferase 1",P15907,ST6GAL1,X,X,X,,X,,,,,,,,,,X,X
21737-20,SIAT2,"Beta-galactoside alpha-2,6-sialyltransferase 2",Q96JF0,ST6GAL2,,,,,,,,,,,,,,,,
15562-24,BGLR,Beta-glucuronidase,P08236,GUSB,,X,X,,X,,,,,,,,,,X,X
25917-12,Hexosaminidase A,Beta-hexosaminidase alpha chain,P06865,HEXA,,,X,X,,,,,,,,,,,,
15470-11,Hexosaminidase B,Beta-hexosaminidase subunit beta,P07686,HEXB,,,X,,,,,,,,,,,,,
6075-61,Hexosaminidase B,Beta-hexosaminidase subunit beta,P07686,HEXB,,,,,,,,,,,,,,,,
19557-3,KLOTB,Beta-klotho,Q86Z14,KLB,,,,,,,,,,,,,,,,
23520-60,YE006,Beta-lactamase-like protein FLJ75971,Q68D91,MBLAC2,,,,,,,,,,,,,,,,
6382-17,MANBA,Beta-mannosidase,O00462,MANBA,,,X,,,,,,,,,,,,,
10620-21,PSP-94,Beta-microseminoprotein,P08118,MSMB,,,,,,,,,,,,,,,,
14061-48,sRANKL,Tumor necrosis factor ligand superfamily member 11,O14788,TNFSF11,,X,X,,X,,,,,X,,,X,X,X,X
12655-30,SNAB,Beta-soluble NSF attachment protein,Q9H115,NAPB,,,,,,,,,,,,,,,,
21549-144,TECTB,Beta-tectorin,Q96PL2,TECTB,,,,,,,,,,,,,,,,
17165-1,BTG,Beta-thromboglobulin,P02775,PPBP,,,,,,,,,,,,,,,,
22091-14,BUP1,Beta-ureidopropionase,Q9UBR1,UPB1,,,X,,,,,,X,,,,X,,X,
5798-3,BID,BH3-interacting domain death agonist,P55957,BID,,,,,,,,,,X,,,X,,X,X
11158-40,BICR1,Bicaudal D-related protein 1,Q6ZP65,BICDL1,,,,,,,,,,,,,,,,
14007-22,PAPS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,O43252,PAPSS1,,,,,,,,,,,,,,,,
18322-15,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,Q6NYC1,JMJD6,,,,X,,,,,,,,,,,,
21207-1,COASY,Bifunctional coenzyme A synthase,Q13057,COASY,,,X,,,,,,,,,,,,,
6927-7,NDST1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,P52848,NDST1,,,,,,,,,,,,,,,,
21371-12,MINA,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,Q8IUF8,RIOX2,,,,,,,,,,,,,,,,
18321-38,MTDC,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",P13995,MTHFD2,,X,,X,,,,,X,,,,X,,X,
13657-2,PNKP,Bifunctional polynucleotide phosphatase/kinase,Q96T60,PNKP,,,X,,,,,,,,,,,,,
23666-35,PUR9,Bifunctional purine biosynthesis protein PURH,P31939,ATIC,,X,X,,X,,,,,,,,,,X,X
21739-7,GLCNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Q9Y223,GNE,,,X,,,,,,,,,,,,,
13690-26,BGN,Biglycan,P21810,BGN,,X,,,,,,,X,X,,,X,,X,X
3284-75,BGN,Biglycan,P21810,BGN,,,,,,,,,,X,,,X,,X,X
23153-14,BIK,BIK,Q13323,BIK,,,,,,,,,,,,,,,,
8946-38,NR1H4,Bile acid receptor,Q96RI1,NR1H4,X,X,,X,,,,,,,,,,,,
9829-91,SULT 2A1,Bile salt sulfotransferase,Q06520,SULT2A1,,,,,,,,,,,,,,,,
9796-4,CEL,Bile salt-activated lipase,P19835,CEL,,,X,,,,,,,,,,,,,
11382-5,BIEA,Biliverdin reductase A,P53004,BLVRA,,,,,,,,,,,,,,,,
23246-67,BL1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,P78537,BLOC1S1,,,,,,,,,,,,,,,,
21184-1,BL1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,Q6QNY1,BLOC1S2,,,,,,,,,,,,,,,,
24487-95,BL1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,Q6QNY0,BLOC1S3,,,X,,,,,,,,,,,,,
19116-1,MUTED,Biogenesis of lysosome-related organelles complex 1 subunit 5,Q8TDH9,BLOC1S5,,,,,,,,,,,,,,,,
21487-20,BL1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6,Q9UL45,BLOC1S6,,,X,,,,,,,,,,,,,
15644-1,Biotinidase,Biotinidase,P43251,BTD,,,,,,,,,,,,,,,,
9269-7,Biotinidase,Biotinidase,P43251,BTD,,,X,,,,,,,,,,,,,
9826-135,Fragile histidine triad protein,Bis(5'-adenosyl)-triphosphatase,P49789,FHIT,,,,X,,,,,,,,,,,,
16583-8,AP4A,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],P50583,NUDT2,,,,X,,,,,,,,,,,,
12020-39,PMGE,Bisphosphoglycerate mutase,P07738,BPGM,,,X,,,,,,,,,,,,,
14250-115,BLMH,Bleomycin hydrolase,Q13867,BLMH,,,,,,,,,,,,,,,,
23327-1,BORC5,BLOC-1-related complex subunit 5,Q969J3,BORCS5,,,,,,,,,,,,,,,,
6935-123,BAMBI:CD,BMP and activin membrane-bound inhibitor homolog:Cytoplasmic domain,Q13145,BAMBI,X,,,,,,,,,,,,,,,
20514-8,BAMBI:ECD,BMP and activin membrane-bound inhibitor homolog:Extracellular domain,Q13145,BAMBI,,,,,,,,,,,,,,,,
8811-24,BAMBI:ECD,BMP and activin membrane-bound inhibitor homolog:Extracellular domain,Q13145,BAMBI,X,,,,,,,,,,,,,,,
15368-3,BMPER,BMP-binding endothelial regulator protein,Q8N8U9,BMPER,,,,,,,,,,X,,,X,,X,X
3654-27,BMPER,BMP-binding endothelial regulator protein,Q8N8U9,BMPER,,,,,,,,,,X,,,X,,X,X
15370-5,BOLA1,BolA-like protein 1,Q9Y3E2,BOLA1,,,,,,,,,,,,,,,,
8404-102,BolA-like protein 2,BolA-like protein 2,Q9H3K6,BOLA2,,,,,,,,,,,,,,,,
5980-55,BOLA3,BolA-like protein 3,Q53S33,BOLA3,,,X,,,,,,,,,,,,,
10885-36,CF089,Bombesin receptor-activated protein C6orf89,Q6UWU4,C6orf89,,,,,,,,,,,,,,,,
7258-5,EMBP,Bone marrow proteoglycan,P13727,PRG2,,,,,,,,,,,,,,,,
8832-55,BST-2,Bone marrow stromal antigen 2,Q10589,BST2,,,,,,,,,,,,,,,,
3348-49,BMP-1,Bone morphogenetic protein 1,P13497,BMP1,,,,,,,,,,X,,,X,,X,X
3587-53,BMP10,Bone morphogenetic protein 10,O95393,BMP10,,,,,,,,,X,,,,X,,X,
11129-66,BMP15,Bone morphogenetic protein 15,O95972,BMP15,,,,,,,,,,,,,,,,
15666-21,BMP-2,Bone morphogenetic protein 2,P12643,BMP2,X,X,X,X,X,,,,X,,,,X,,X,X
16748-1,BMP-3,Bone morphogenetic protein 3,P12645,BMP3,,,,,,,,,,,,,,,,
22948-13,BMP-3,Bone morphogenetic protein 3,P12645,BMP3,,,,,,,,,,,,,,,,
15667-39,BMP-4,Bone morphogenetic protein 4,P12644,BMP4,,X,X,X,X,,,,,,,,,,X,X
6326-20,BMP-4,Bone morphogenetic protein 4,P12644,BMP4,,,,,,,,,,,,,,,,
21883-17,BMP-5,Bone morphogenetic protein 5,P22003,BMP5,,,,,,,,,,,,,,,,
3736-60,BMP-6,Bone morphogenetic protein 6,P22004,BMP6,X,X,X,,X,,,,,X,,,X,,X,X
